category	FROM	TO	evidence	source
TF-miRNA	SP1	hsa-mir-106a	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-141	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-155	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-200a	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-200b	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-200c	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-205	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-23a	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-24	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-27a	Experimental	PMID20584335
TF-miRNA	TGFB1	hsa-mir-429	Experimental	PMID20584335
TF-miRNA	F2	hsa-mir-222	Experimental	PMID20584335
TF-miRNA	TLR2	hsa-mir-9	Experimental	PMID20584335
TF-miRNA	TLR4	hsa-mir-9	Experimental	PMID20584335
TF-miRNA	TLR7	hsa-mir-9	Experimental	PMID20584335
TF-miRNA	TLR8	hsa-mir-9	Experimental	PMID20584335
TF-miRNA	NR2E1	hsa-mir-9	Experimental	PMID20584335
TF-miRNA	TLX1	hsa-mir-17	Experimental	PMID20584335
TF-miRNA	TLX1	hsa-mir-18a	Experimental	PMID20584335
TF-miRNA	TLX1	hsa-mir-19a	Experimental	PMID20584335
TF-miRNA	TLX1	hsa-mir-19b	Experimental	PMID20584335
TF-miRNA	TLX1	hsa-mir-20a	Experimental	PMID20584335
TF-miRNA	TLX1	hsa-mir-92a	Experimental	PMID20584335
TF-miRNA	TLX3	hsa-mir-17	Experimental	PMID20584335
TF-miRNA	TLX3	hsa-mir-18a	Experimental	PMID20584335
TF-miRNA	TLX3	hsa-mir-19a	Experimental	PMID20584335
TF-miRNA	TLX3	hsa-mir-19b	Experimental	PMID20584335
TF-miRNA	TLX3	hsa-mir-20a	Experimental	PMID20584335
TF-miRNA	TLX3	hsa-mir-92a	Experimental	PMID20584335
TF-miRNA	TNF	hsa-mir-9	Experimental	PMID20584335
TF-miRNA	TP53	hsa-mir-145	Experimental	PMID20584335
TF-miRNA	TP53	hsa-mir-192	Experimental	PMID20584335
TF-miRNA	TP53	hsa-mir-215	Experimental	PMID20584335
TF-miRNA	TP53	hsa-mir-34a	Experimental	PMID20584335
TF-miRNA	TP53	hsa-mir-34b	Experimental	PMID20584335
TF-miRNA	TP53	hsa-mir-34c	Experimental	PMID20584335
TF-miRNA	TRIM32	hsa-let-7a	Experimental	PMID20584335
TF-miRNA	TRIM32	hsa-let-7b	Experimental	PMID20584335
TF-miRNA	TRIM32	hsa-let-7c	Experimental	PMID20584335
TF-miRNA	TRIM32	hsa-let-7d	Experimental	PMID20584335
