gene	specific tissue
CTD-3187F8.7	Testis
AC009963.6	Testis
CTD-3187F8.2	Testis
RP11-742B18.1	Testis
RP11-1124B17.1	Testis
RP11-328K2.1	Testis
EIF1AX-AS1	Skin - Not Sun Exposed (Suprapubic)
CTC-513N18.6	Pancreas
RP11-610J23.1	Testis
RP11-416K24.1	Testis
CTD-2571E19.1	Testis
C15orf43	Testis
PRKACG	Testis
C20orf78	Testis
RP4-544H6.2	Testis
RP11-34D15.2	Testis
RP5-1057J7.1	Testis
ELK2BP	Testis
RP5-1193P9.4	Testis
MBL2	Liver
SETP5	Spleen
TCEB3B	Testis
RP11-501C14.6	Testis
RN7SL45P	Brain - Cerebellum
RP11-501C14.5	Testis
RP11-328C8.5	Testis
AP000146.2	Testis
AC000099.1	Testis
TRIML1	Testis
RP11-359H3.1	Heart - Atrial Appendage
AC009263.2	Testis
AC007740.1	Testis
CTD-2176I21.2	Testis
AL133481.1	Testis
AC005772.2	Testis
AC067945.3	Cells - EBV-transformed lymphocytes
CTD-2265D6.2	Adipose - Subcutaneous
RHBDF1P1	Testis
FYTTD1P1	Liver
C11orf34	Pituitary
SEMG1	Prostate
DAZL	Testis
DAZ3	Testis
DAZ2	Testis
DAZ1	Testis
RP11-552D8.1	Testis
LINC00440	Brain - Frontal Cortex (BA9)
AKAP4	Testis
CAGE1	Testis
AC012075.2	Testis
LINC00446	Testis
CITF22-49D8.1	Testis
RP11-79P5.3	Testis
RP5-991C6.4	Testis
RP5-991C6.3	Lung
RP5-991C6.2	Minor Salivary Gland
KRT17P3	Testis
RP5-1044H5.1	Testis
CTD-2336H13.2	Testis
CETN1	Testis
RP11-321M21.1	Testis
RP11-321M21.3	Testis
VSX2	Testis
AC018445.1	Brain - Spinal cord (cervical c-1)
TXNDC12-AS1	Testis
CTD-2375G15.1	Cells - EBV-transformed lymphocytes
RPL27P12	Testis
RP11-476H20.1	Testis
RP11-452B18.2	Testis
CTC-455F18.3	Testis
OR4H6P	Testis
RP5-1051H14.2	Testis
RP11-671C19.2	Testis
RP11-14K2.1	Testis
RP11-540D4.3	Testis
RP11-360D2.2	Ovary
RP11-1129I3.1	Testis
RP11-360D2.1	Testis
LL22NC03-30E12.13	Testis
LL22NC03-30E12.10	Testis
LL22NC03-30E12.11	Testis
RP11-433J20.2	Testis
RP11-332H17.1	Testis
CTD-2275D24.1	Testis
CTD-2275D24.2	Testis
CTD-2275D24.4	Testis
CTC-218B8.3	Testis
FAM230B	Testis
RP11-139B1.1	Testis
FAM230A	Testis
CTB-60E11.11	Testis
RNU4-23P	Pituitary
AC004125.3	Testis
CLYBL-AS2	Small Intestine - Terminal Ileum
RP11-571L19.7	Testis
NCOR1P1	Testis
NCOR1P3	Testis
CTD-2329C7.2	Testis
RP11-420B22.2	Testis
RP11-420B22.1	Testis
AC011752.1	Testis
TSPY8	Testis
TSPY4	Testis
TSPY3	Testis
TSPY2	Testis
TSPY1	Testis
RP5-947P14.2	Testis
RP5-947P14.1	Testis
RP11-33G16.1	Testis
RP11-103J17.2	Testis
RP5-963E22.5	Testis
RP11-103J17.1	Testis
WASIR1	Ovary
RP11-2F20.1	Testis
MYF5	Muscle - Skeletal
RP11-335E6.3	Testis
AL160269.1	Testis
AC105227.1	Adrenal Gland
RP3-390M24.1	Cells - Transformed fibroblasts
RP11-555H7.2	Testis
RP11-181K12.2	Prostate
RP11-169F17.1	Testis
KRT8P43	Testis
CTD-2139B15.4	Testis
KRT8P41	Testis
AC092610.12	Testis
RP5-1107A17.2	Testis
MMP20	Testis
RP11-789F5.1	Testis
AC026202.5	Testis
RP11-61O1.2	Whole Blood
RP1-56J10.8	Testis
RP11-123O1.1	Testis
RARRES2P8	Testis
RARRES2P9	Testis
RP11-458K10.2	Testis
RARRES2P6	Testis
RP11-479O16.1	Testis
GACAT1	Testis
RP11-475A13.2	Testis
AC073869.19	Testis
RNA5SP46	Liver
TEX28	Testis
HLA-DRB9	Cells - EBV-transformed lymphocytes
TMCO5B	Testis
TMCO5A	Testis
RP11-2N5.2	Testis
RP11-2N5.1	Testis
RP11-1D12.1	Testis
RP11-306K13.1	Brain - Cerebellum
RP4-560B9.4	Testis
SPZ1	Testis
CTD-2281E23.1	Testis
CTD-2281E23.2	Testis
CTD-2526M8.2	Liver
CTD-2526M8.3	Testis
CTAGE13P	Testis
RP11-323A7.1	Testis
RP11-447H19.3	Pituitary
HMGN2P32	Testis
HMGN2P34	Testis
RP11-506B6.6	Testis
RNU1-88P	Testis
RP11-17M15.4	Heart - Left Ventricle
RP11-145H9.3	Testis
RP11-17M15.2	Testis
AC007395.4	Spleen
MAGEA2B	Testis
AC008278.3	Testis
AC093822.1	Testis
IRX1P1	Testis
RP11-688I9.2	Testis
LINC00690	Testis
LINC00691	Testis
AC103809.1	Spleen
UBE2V2P1	Small Intestine - Terminal Ileum
UBE2V2P3	Small Intestine - Terminal Ileum
AC007395.3	Testis
RP11-343D2.11	Testis
HNRNPH1P3	Testis
H2AFZP6	Testis
RP11-955H22.3	Testis
RP11-955H22.2	Testis
RP11-955H22.1	Testis
ADAM30	Testis
RP11-955H22.4	Testis
RP11-846C15.2	Testis
CTC-340I23.2	Testis
RP11-1137G4.4	Testis
LINC00347	Testis
LINC00345	Testis
LINC00343	Testis
FUNDC2P2	Testis
COTL1P2	Testis
RP11-325K19.2	Testis
RPL37P4	Testis
SYCP1	Testis
RP11-171N4.2	Testis
RP11-358N4.6	Testis
ADAM3A	Testis
SLC22A12	Kidney - Cortex
RP11-306G20.1	Testis
AC139712.2	Testis
RCN1P1	Testis
RP11-713M15.1	Testis
CTD-2588J1.1	Testis
CTD-2515H24.1	Testis
OR2N1P	Testis
RP11-1099M24.8	Testis
SAMD11P1	Testis
RP11-34H11.6	Testis
PSMC1P11	Testis
RP11-34H11.3	Testis
C4orf51	Testis
C3orf30	Testis
CTC-321K16.4	Testis
RP5-1096J16.1	Pituitary
RP11-5N11.2	Testis
AP006285.1	Liver
RPL12P8	Cells - EBV-transformed lymphocytes
PCGEM1	Prostate
RPL12P3	Testis
RN7SKP209	Pituitary
RP11-364P2.2	Testis
UCP1	Testis
RNU5E-4P	Testis
CTD-2024D23.1	Testis
AP000620.1	Testis
RP11-397C12.1	Testis
AC004079.1	Testis
ZNF99	Testis
RAET1K	Testis
RNF6P1	Testis
RP11-421E14.2	Testis
KRTAP1-1	Cells - Transformed fibroblasts
CCDC70	Testis
RP11-787B4.2	Cells - Transformed fibroblasts
CCDC79	Testis
RP11-889D3.2	Testis
RP11-889D3.1	Testis
AC011306.1	Testis
RP11-16B9.1	Testis
CTC-523E23.15	Testis
RP4-704D23.1	Testis
RFTN1P1	Testis
SPATA31D2P	Testis
KB-1639H6.2	Testis
DNM1P17	Testis
RP11-513G11.3	Liver
MT-TA	Brain - Putamen (basal ganglia)
RP11-129B9.2	Skin - Not Sun Exposed (Suprapubic)
RP11-510I5.4	Testis
RP11-78O9.1	Testis
AC009508.1	Testis
RP11-428L9.2	Testis
RP11-550A5.2	Pituitary
ZNF32-AS3	Testis
ATP6V1G1P4	Testis
LRRC37BP1	Testis
LINC00596	Testis
VN1R88P	Testis
RP11-76E12.1	Testis
LINC00598	Testis
RP11-393K19.1	Testis
RP11-598D14.1	Testis
DSCR8	Testis
DSCR4	Testis
AC074091.1	Testis
RP11-101E14.3	Liver
RP11-244K5.6	Testis
XX-2136C48.7	Testis
CTC-265N9.1	Testis
AC007422.1	Testis
RP11-630D6.5	Spleen
RN7SL102P	Testis
UBE2E2-AS1	Testis
RP11-536P6.3	Testis
CRYGB	Testis
CRYGC	Testis
LNX1-AS1	Testis
RP11-373D7.1	Testis
RP11-104H15.7	Testis
RP11-262K1.1	Testis
RP1-146I3.1	Testis
AC008079.9	Testis
RP11-815I9.3	Testis
RP11-712C7.1	Testis
TAS2R38	Small Intestine - Terminal Ileum
RP11-532L16.3	Spleen
CTD-2538A21.1	Brain - Cerebellum
SPDYE9P	Testis
RP11-338H14.1	Testis
RNU1-47P	Liver
AC087499.10	Testis
RP11-190J1.3	Testis
CTD-2113L7.1	Testis
RP11-897M7.1	Testis
RP11-778J16.2	Cervix - Ectocervix
RP11-141O11.1	Testis
RP11-488I20.8	Testis
SPDYE4	Testis
AC005358.3	Testis
CTD-2568A17.1	Testis
RP1-81P11.1	Testis
RP11-264F23.1	Testis
RBMY1B	Testis
TFAP2D	Brain - Amygdala
RBMY1E	Testis
CTD-2050I18.1	Testis
RP11-14J7.6	Testis
AC006037.2	Liver
NPSR1	Brain - Hypothalamus
CTC-312O10.2	Whole Blood
RP11-313I2.7	Testis
RP11-733C7.1	Testis
RP11-313I2.2	Liver
PCAT2	Testis
PCAT4	Prostate
RP11-56H2.2	Testis
SLC25A39P2	Testis
RP11-568G11.5	Cells - EBV-transformed lymphocytes
RNU6-583P	Cells - EBV-transformed lymphocytes
MUC22	Esophagus - Mucosa
RP11-275O4.3	Testis
RP11-139K4.2	Testis
GAGE1	Testis
RN7SL421P	Pancreas
CTD-2001E22.1	Testis
RP11-220D10.1	Testis
KRT8P29	Brain - Cerebellum
RP11-114H24.3	Testis
GRXCR1	Testis
RP11-114H24.4	Testis
RP11-264E18.1	Testis
RP11-436F21.1	Testis
RP11-591L14.2	Testis
BPIFA4P	Testis
RP11-298H24.1	Testis
RP3-462C17.1	Testis
C7orf33	Testis
RP11-505K9.3	Testis
RP11-429J17.4	Testis
AE000662.92	Testis
U66059.29	Testis
RP11-418I22.2	Testis
GRM7-AS2	Testis
GRM7-AS3	Testis
RN7SL211P	Cells - EBV-transformed lymphocytes
