Ewsr1	Zbtb24	0.183
Cers2	Cited1	0.183
Hdac7	Mitf	0.21
Mier2	Ndn	0.183
Ryr2	Ryr2	0.61
Dpyd	Pgls	0.081
Lrp1B	Pick1	0.702
Tgfbr1	Xiap	0.21
Rhoa	Ywhaz	0.081
Col1A1	Smad3	0.21
Cpne1	Ywhae	0.081
Idh1	Pgls	0.081
Mbp	Prnp	0.126
Hnf4A	Ppargc1A	0.21
Lcp1	Lcp1	0.155
Cnbp	Ywhae	0.081
Igf2Bp1	Ywhae	0.196
Pdlim4	Zbtb9	0.183
Invs	Pkm	0.126
Camk2B	Ywhae	0.081
Iqcb1	Prkacb	0.236
Arl3	Ywhae	0.081
Pelp1	Ywhae	0.081
Fbxo32	Mrpl1	0.126
Hsd3B4	Mrps24	0.081
Plg	Ywhae	0.081
Cast	Pgls	0.081
Mdh2	Pgls	0.081
Hsd3B4	Xpnpep1	0.081
Maf	Smarca5	0.376
Eed	Ppp2Cb	0.126
Erbb2	Lnx1	0.21
Adar	Ywhae	0.081
Clu	Lrp8	0.309
Gli3	Sumo2	0.21
Rbl1	Suv420H2	0.309
Hsd3B7	Scp2	0.081
Bhlhe41	Bhlhe41	0.21
Ptprg	Ywhae	0.081
Inpp5D	Parvg	0.21
Foxp3	Gtf3C2	0.126
Bdnf	Ntrk2	0.033
Prkce	Rps19	0.126
Mapk8	Mapk8Ip3	0.569
Smap1	Smap2	0.523
Fmr1	Hmga2	0.126
Aire	Ddx17	0.236
Hes1	Hes6	0.21
Cdk2	Hist1H1B	0.309
Cdh8	Cdh8	0.554
Abi1	Cenpf	0.183
Esrrb	Nanog	0.126
Aimp2	Ubc	0.126
Gba	Ywhae	0.081
Abl1	Sh3Bp1	0.309
Actn4	Ywhaz	0.081
Eed	Xrn2	0.126
Hdgf	Pgls	0.081
Ctnna1	Ptprq	0.21
Clstn1	Klc1	0.569
Abi1	Cblb	0.183
Hsd3B7	Luc7L2	0.081
Gsk3B	Mcl1	0.309
Eif4A3	Rpgrip1L	0.126
Cenpc	Vim	0.126
Cul1	Myog	0.569
Hadha	Pou5F1	0.126
Susd2	Ywhae	0.081
Bfsp1	Ppl	0.21
Cdh2	Ctnnd1	0.376
Hdac1	Rere	0.21
Hsd3B7	Irgm1	0.081
Bdh1	Ywhab	0.081
Hmga2	Vamp7	0.126
Eef1D	Ubc	0.126
Nfic	Zfp28	0.183
Cers2	Tcf3	0.183
Mybpc2	Nphp4	0.126
Csf2Rb	Il3Ra	0.21
Arf3	Dlg4	0.236
Anp32A	Set	0.183
Cenpc	Piwil1	0.126
Carm1	Ncoa2	0.843
Park2	Sncaip	0.21
Bptf	Nanog	0.126
Cul3	Eed	0.126
Lin28A	Pabpc4	0.21
Rock2	Tubg1	0.126
Cd44	Ptprc	0.21
Shc1	Tax1Bp1	0.183
Akr1D1	Pgls	0.081
Col1A1	Smad2	0.21
Eed	Rrm1	0.126
Bax	Bid	0.454
Dll4	Mib1	0.376
Eed	Ruvbl2	0.126
Anpep	Atp1B1	0.126
Hsd3B4	Pgk1	0.081
Myh10	Nrp1	0.21
Cblb	Grb2	0.332
Fyb	Lyn	0.21
Lrrk2	Mbp	0.309
Q9Ert0	Trp53	0.21
Ca3	Ywhae	0.081
Sgcb	Sgcd	0.376
Med14	Unk	0.126
Cep290	Tuba1B	0.236
Bak1	Mcl1	0.376
Hnrnpk	Vav1	0.623
Sun2	Syne2	0.21
Meis2	Pbx4	0.183
Bnip3L	Sh3Rf1	0.659
Iqcb1	Plec	0.126
Rpgrip1L	Stxbp1	0.126
Hmga2	Snrpf	0.126
Cbx4	Rnf2	0.236
Crym	Crym	0.332
H2Afx	Nbn	0.126
Gja1	Ybx3	0.126
Akt1	Mtor	0.376
Invs	Nrgn	0.126
Gmnn	Tbpl1	0.309
Setd7	Tbx1	0.21
Ift46	Ttc21B	0.126
Atf2	Atf2	0.332
Add3	Ywhab	0.081
