mirna	specific process
hsa-mir-15a	Cell proliferation
hsa-mir-15b	Cell proliferation
hsa-mir-16	Cell proliferation
hsa-mir-206	Cell proliferation
hsa-mir-21	Cell proliferation
hsa-mir-221	Cell proliferation
hsa-mir-222	Cell proliferation
hsa-mir-24	Cell proliferation
hsa-mir-27b	Cell proliferation
hsa-mir-29b	Cell proliferation
hsa-mir-34b	Cell proliferation
hsa-mir-34c	Cell proliferation
hsa-mir-373	Cell proliferation
hsa-mir-449a	Cell proliferation
hsa-mir-449b	Cell proliferation
hsa-mir-451	Cell proliferation
hsa-mir-9	Cell proliferation
hsa-mir-92	Cell proliferation
hsa-mir-16	Chemosensitivity of tumor cells
hsa-mir-21	Chemosensitivity of tumor cells
hsa-mir-140	Chemosensitivity of tumor cells
hsa-mir-27a	Chemosensitivity of tumor cells
hsa-let-7a	Granulopoiesis
hsa-mir-15a	Granulopoiesis
hsa-mir-15b	Granulopoiesis
hsa-let-7d	Granulopoiesis
hsa-let-7c	Granulopoiesis
hsa-mir-223	Granulopoiesis
hsa-mir-155	Granulopoiesis
hsa-mir-17	Granulopoiesis
hsa-mir-223	Granulopoiesis
hsa-mir-196b	Granulopoiesis
hsa-mir-21	Granulopoiesis
hsa-mir-24	HCV infection
hsa-mir-149	HCV infection
hsa-mir-638	HCV infection
hsa-mir-1181	HCV infection
hsa-mir-122	HCV infection
hsa-mir-223	HCV infection
hsa-mir-10	HIV latency
hsa-mir-106b	HIV latency
hsa-mir-125b	HIV latency
hsa-mir-126	HIV latency
hsa-mir-127	HIV latency
hsa-mir-128a	HIV latency
hsa-mir-143	HIV latency
hsa-mir149	HIV latency
hsa-mir-155	HIV latency
hsa-mir-17	HIV latency
hsa-mir-18a	HIV latency
hsa-mir-198	HIV latency
hsa-mir-19a	HIV latency
hsa-mir-19b	HIV latency
hsa-mir-20a	HIV latency
hsa-mir-223	HIV latency
hsa-mir-25	HIV latency
hsa-mir-29a	HIV latency
hsa-mir-92a	HIV latency
hsa-mir-93	HIV latency
hsa-mir-N367	HIV latency
hsa-let-7a	Hormones regulation
hsa-mir-1	Hormones regulation
hsa-mir-101	Hormones regulation
hsa-mir-106a	Hormones regulation
hsa-mir-106b	Hormones regulation
hsa-mir-107	Hormones regulation
hsa-mir-124a	Hormones regulation
hsa-mir-126	Hormones regulation
hsa-mir-128a	Hormones regulation
hsa-mir-128b	Hormones regulation
hsa-mir-132	Hormones regulation
hsa-mir-133a	Hormones regulation
hsa-mir-133b	Hormones regulation
hsa-mir-135a	Hormones regulation
hsa-mir-135b	Hormones regulation
hsa-mir-139	Hormones regulation
hsa-mir-146a	Hormones regulation
hsa-mir-150	Hormones regulation
hsa-mir-15a	Hormones regulation
hsa-mir-16	Hormones regulation
hsa-mir-17	Hormones regulation
hsa-mir-18	Hormones regulation
hsa-mir-18a	Hormones regulation
hsa-mir-18b	Hormones regulation
hsa-mir-199	Hormones regulation
hsa-mir-19a	Hormones regulation
hsa-mir-19b	Hormones regulation
hsa-mir-206	Hormones regulation
hsa-mir-208a	Hormones regulation
hsa-mir-208b	Hormones regulation
hsa-mir-20a	Hormones regulation
hsa-mir-20b	Hormones regulation
hsa-mir-21	Hormones regulation
hsa-mir-212	Hormones regulation
hsa-mir-22	Hormones regulation
hsa-mir-221	Hormones regulation
hsa-mir-222	Hormones regulation
hsa-mir-223	Hormones regulation
hsa-mir-23a	Hormones regulation
hsa-mir-23b	Hormones regulation
hsa-mir-24	Hormones regulation
hsa-mir-25	Hormones regulation
hsa-mir-27a	Hormones regulation
hsa-mir-27b	Hormones regulation
hsa-mir-296	Hormones regulation
hsa-mir-29a	Hormones regulation
hsa-mir-29b	Hormones regulation
hsa-mir-29c	Hormones regulation
hsa-mir-30d	Hormones regulation
hsa-mir-34	Hormones regulation
hsa-mir-346	Hormones regulation
hsa-mir-363	Hormones regulation
hsa-mir-375	Hormones regulation
hsa-mir-449	Hormones regulation
hsa-mir-484	Hormones regulation
hsa-mir-499	Hormones regulation
hsa-mir-690	Hormones regulation
hsa-mir-7	Hormones regulation
hsa-mir-9	Hormones regulation
hsa-mir-92a	Hormones regulation
hsa-mir-93	Hormones regulation
hsa-mir-98	Hormones regulation
hsa-mir-106a	Human embryonic stem cell (hESC) regulation
hsa-mir-106b	Human embryonic stem cell (hESC) regulation
hsa-mir-10a	Human embryonic stem cell (hESC) regulation
hsa-mir-122	Human embryonic stem cell (hESC) regulation
hsa-mir-124a	Human embryonic stem cell (hESC) regulation
hsa-mir-125a	Human embryonic stem cell (hESC) regulation
hsa-mir-125b	Human embryonic stem cell (hESC) regulation
hsa-mir-126	Human embryonic stem cell (hESC) regulation
hsa-mir-128	Human embryonic stem cell (hESC) regulation
hsa-mir-132	Human embryonic stem cell (hESC) regulation
hsa-mir-133	Human embryonic stem cell (hESC) regulation
hsa-mir-134	Human embryonic stem cell (hESC) regulation
hsa-mir-135b	Human embryonic stem cell (hESC) regulation
hsa-mir-137	Human embryonic stem cell (hESC) regulation
hsa-mir-141	Human embryonic stem cell (hESC) regulation
hsa-mir-142	Human embryonic stem cell (hESC) regulation
hsa-mir-143	Human embryonic stem cell (hESC) regulation
hsa-mir-144	Human embryonic stem cell (hESC) regulation
hsa-mir-145	Human embryonic stem cell (hESC) regulation
hsa-mir-146a	Human embryonic stem cell (hESC) regulation
hsa-mir-146b	Human embryonic stem cell (hESC) regulation
hsa-mir-148a	Human embryonic stem cell (hESC) regulation
hsa-mir-148b	Human embryonic stem cell (hESC) regulation
hsa-mir-150	Human embryonic stem cell (hESC) regulation
hsa-mir-155	Human embryonic stem cell (hESC) regulation
hsa-mir-15b	Human embryonic stem cell (hESC) regulation
hsa-mir-17	Human embryonic stem cell (hESC) regulation
hsa-mir-181a	Human embryonic stem cell (hESC) regulation
hsa-mir-182	Human embryonic stem cell (hESC) regulation
hsa-mir-192	Human embryonic stem cell (hESC) regulation
hsa-mir-195	Human embryonic stem cell (hESC) regulation
