mirna	specific process
mmu-mir-92	Cell proliferation
mmu-mir-16	Chemosensitivity of tumor cells
mmu-mir-21	Chemosensitivity of tumor cells
mmu-mir-140	Chemosensitivity of tumor cells
mmu-mir-27a	Chemosensitivity of tumor cells
mmu-let-7a	Granulopoiesis
mmu-mir-15a	Granulopoiesis
mmu-mir-15b	Granulopoiesis
mmu-let-7d	Granulopoiesis
mmu-let-7c	Granulopoiesis
mmu-mir-223	Granulopoiesis
mmu-mir-155	Granulopoiesis
mmu-mir-17	Granulopoiesis
mmu-mir-223	Granulopoiesis
mmu-mir-196b	Granulopoiesis
mmu-mir-21	Granulopoiesis
mmu-mir-24	HCV infection
mmu-mir-149	HCV infection
mmu-mir-638	HCV infection
mmu-mir-1181	HCV infection
mmu-mir-122	HCV infection
mmu-mir-223	HCV infection
mmu-mir-10	HIV latency
mmu-mir-106b	HIV latency
mmu-mir-125b	HIV latency
mmu-mir-126	HIV latency
mmu-mir-127	HIV latency
mmu-mir-128a	HIV latency
mmu-mir-143	HIV latency
mmu-mir149	HIV latency
mmu-mir-155	HIV latency
mmu-mir-17	HIV latency
mmu-mir-18a	HIV latency
mmu-mir-198	HIV latency
mmu-mir-19a	HIV latency
mmu-mir-19b	HIV latency
mmu-mir-20a	HIV latency
mmu-mir-223	HIV latency
mmu-mir-25	HIV latency
mmu-mir-29a	HIV latency
mmu-mir-92a	HIV latency
mmu-mir-93	HIV latency
mmu-mir-N367	HIV latency
mmu-let-7a	Hormones regulation
mmu-mir-1	Hormones regulation
mmu-mir-101	Hormones regulation
mmu-mir-106a	Hormones regulation
mmu-mir-106b	Hormones regulation
mmu-mir-107	Hormones regulation
mmu-mir-124a	Hormones regulation
mmu-mir-126	Hormones regulation
mmu-mir-128a	Hormones regulation
mmu-mir-128b	Hormones regulation
mmu-mir-132	Hormones regulation
mmu-mir-133a	Hormones regulation
mmu-mir-133b	Hormones regulation
mmu-mir-135a	Hormones regulation
mmu-mir-135b	Hormones regulation
mmu-mir-139	Hormones regulation
mmu-mir-146a	Hormones regulation
mmu-mir-150	Hormones regulation
mmu-mir-15a	Hormones regulation
mmu-mir-16	Hormones regulation
mmu-mir-17	Hormones regulation
