gene	specific tissue
Agbl1	Mammary Gland
Gm12299	Bladder
Gm13270	Bladder
4932431P20Rik	Testis
Gm13589	Central Nervous System
Abhd12b	Stomach
Gm13584	Testis
Dcdc2c	Testis
4930544L04Rik	Testis
4930471C06Rik	Testis
Smc1b	Testis
Actl10	Testis
Gm16191	Adrenal Gland
Pldi	Testis
1700092E19Rik	Testis
Tsga8	Testis
Spag11a	Genital Adipose
Gm6526	Testis
Gm10912	Testis
4921501E09Rik	Testis
Pdzd9	Testis
Fbxo43	Testis
Gm5127	Central Nervous System
4921522P10Rik	Testis
Fhitos	Testis
4931413K12Rik	Testis
Cnbd1	Testis
Gm9961	Ovary
Enthd1	Testis
4930589L23Rik	Testis
Sel1l2	Testis
A930009A15Rik	Frontal Lobe
Gm5878	Testis
Gm10735	Limb
4930548G14Rik	Testis
Gm11655	Testis
1700061H18Rik	Testis
4930527E20Rik	Testis
Tigd4	Limb
Mip	Limb
Myh15	Testis
Olfr701	Testis
4930507D10Rik	Testis
4930505K14Rik	Testis
1700095J12Rik	Testis
Vmn2r121	Testis
Trav18	Thymus
Trav19	Thymus
Tbc1d21	Testis
Gm24860	Central Nervous System
Trav16	Thymus
Gsdma3	Thymus
Axdnd1	Testis
Gm12977	Testis
Gm12970	Testis
Snord1b	Placenta
Gm16334	Testis
4930549C01Rik	Testis
Taar5	Central Nervous System
Dcpp3	Ovary
Gm22761	Whole Brain
1700015E13Rik	Testis
Gm2381	Placenta
Klra9	Bladder
Klra8	Bladder
Gm15509	Testis
Klra5	Liver
Lyzl1	Testis
Fam71a	Testis
Gm14635	Limb
Tas2r135	Cerebellum
Gm8180	Testis
Hyal6	Testis
Hyal5	Testis
Gm11739	Testis
1700001G01Rik	Testis
Kir3dl2	Central Nervous System
Igf1os	Subcutaneous Adipose
4930533K18Rik	Testis
Nell1os	Testis
Cldn34d	Testis
Cldn34a	Testis
1700020N01Rik	Testis
Gm14124	Placenta
Gm13822	Thymus
Gm15340	Thymus
Gm15341	Testis
Sh2d1b2	Placenta
Rhox1	Placenta
Gm15657	Large Intestine
Tktl1	Testis
Tktl2	Testis
Gm13775	Liver
4930516K23Rik	Testis
Trp53tg5	Testis
Gm12514	Placenta
Glipr1l1	Testis
Gm15230	Bladder
Glipr1l2	Testis
B230398E01Rik	Testis
Lrit2	Liver
Gm12519	Heart
Cplx4	Testis
Fam47c	Testis
Sbpl	Thymus
Gm17104	Central Nervous System
Hsfy2	Testis
Olfr54	Adrenal Gland
Pde6h	Testis
D030047H15Rik	Bladder
1700066O22Rik	Testis
Gm11958	Heart
Dppa2	Placenta
Dppa3	Ovary
Triml2	Placenta
Lrrc37a	Testis
Gm17077	Cerebellum
Kcnj1	Kidney
Zdhhc11	Testis
Piwil1	Testis
Gm17079	Testis
4930401O10Rik	Testis
Gm16075	Cerebellum
Gm13008	Liver
Gm16079	Testis
Gm16078	Kidney
Snora75	Whole Brain
Gm13001	Testis
1700027A07Rik	Testis
4930533B01Rik	Testis
BC050972	Testis
1700125H03Rik	Testis
H2bfm	Testis
Gm17252	Genital Adipose
Izumo2	Testis
4930401O12Rik	Testis
7420426K07Rik	Ovary
1700128E19Rik	Testis
Spag17os	Cerebellum
C130079G13Rik	Limb
4930447F04Rik	Testis
Gm5640	Placenta
1700031F10Rik	Testis
Gm5132	Testis
Gm24123	Whole Brain
Gm10634	Testis
Gm24494	Placenta
4930503E14Rik	Testis
Noto	Ovary
Gja8	Testis
Gm17657	Testis
Nckap5los	Testis
Rhox10	Testis
Rhox11	Testis
1700021N21Rik	Testis
Gm5862	Testis
Gm9732	Testis
Olfr666	Genital Adipose
Gm16577	Testis
Gm10706	Genital Adipose
Mbd3l1	Testis
4930433I11Rik	Testis
4930483J18Rik	Testis
4933414I15Rik	Testis
Ube4bos2	Testis
Ube4bos3	Testis
Dusp21	Testis
4933434M16Rik	Testis
Cldn34b1	Testis
Cldn34b2	Testis
Cldn34b3	Testis
Cldn34b4	Testis
